sample_id,task,contract_id,final_label,stratum,physical_loc,source_file,source_sha256,source_bytes,label_basis,vote_status,source_manifest
re-case-01,RE,489,1,100-300,122,sources/489.sol,7173d3b119e126dc685ea2b9ecdc9f72fd7bcac8eb3d1a641bc7ddd721ac3911,3618,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-02,RE,7033,0,<100,66,sources/7033.sol,a1291bfcf5f0e2cc177986965d57af4d43a807cdd6a7d0fdf07b0342b37dbadf,2423,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-03,RE,10834,1,<100,78,sources/10834.sol,29818b93f9ff3a626f14e464b45ec49b156ac1ec04373a9650957962e2d828f6,1492,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-04,RE,18735,0,>300,1559,sources/18735.sol,e0ad4e94bdebf71fecb3e6e32891b2b60c08e8e0f5ef32cf0faa155ca5cc5311,54217,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-05,RE,17266,1,>300,382,sources/17266.sol,31e2415abfca9276e96e9d6939f8340c1d972f42ea6329129818424458e29bd0,15996,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-06,RE,18224,1,100-300,174,sources/18224.sol,1a1cab55c747961fc27bab94bf4945a7c691bedab1d50c3386c9f67faedff56c,6733,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-07,RE,19062,1,>300,1855,sources/19062.sol,8707df7a8c3cd806e4d3fed71794b67bdb373332a20e2b30e650f51d426ba597,65352,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-08,RE,10557,0,<100,42,sources/10557.sol,bb3d0d458a0592b4f40c5551ec5bfa50f0dd0f3cb93b2d8c27d9cbea0c4a4299,1334,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-09,RE,351,1,<100,78,sources/351.sol,7f7d3034e24bae406b9768683edc81de4d8790805b2326c1245fca5f7a9ec50b,1490,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-10,RE,19269,0,100-300,106,sources/19269.sol,d0019e9ba4b306e3cc9124674cbf06ea138d1ea14506bb740dfbd743eafe9c73,3186,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-11,RE,12029,1,<100,97,sources/12029.sol,b581aa93951b1816380d6efe3f560b8ab062f04236f84dbd1b02f15d41cbf061,1820,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-12,RE,10205,0,100-300,126,sources/10205.sol,778fe92c47c927d0a3c59c9d9ffb06534b71942b835123a5df3ff5955f01bbeb,4440,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-13,RE,1912,1,>300,1962,sources/1912.sol,a1a12ab40eaf73be4a2e8becbae2d290df133e1018e28307ba29c700bc680c24,64658,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-14,RE,14943,1,>300,1659,sources/14943.sol,507c2a82142f66dbd1a35dc8ee790119a2b79660326ee8511050b2098b9ff8aa,60169,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-15,RE,369,0,>300,311,sources/369.sol,edb6dea37c479d666f11faf00bc8e4b9f69e4f90aea65c8755e655c594ff3b14,10161,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-16,RE,6658,0,>300,554,sources/6658.sol,c826efcd76bf2360cedf4cb2328ddb669a622b54c119ad58bcaae52925657ad1,18232,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
