sample_id,contract_id,stratum,physical_loc,original_label,direct_label,direct_reason,direct_evidence_lines,direct_evidence_text,direct_status,fixed_rule_candidates,fixed_rule_label,fixed_rule_reason,fixed_rule_evidence_lines,fixed_rule_evidence_text,fixed_rule_status,llm_keywords,llm_keyword_candidates,llm_keyword_label,llm_keyword_reason,llm_keyword_evidence_lines,llm_keyword_evidence_text,llm_keyword_status,direct_reported_evidence_text,direct_verified_evidence_status,fixed_rule_reported_evidence_text,fixed_rule_verified_evidence_status,llm_keyword_reported_evidence_text,llm_keyword_verified_evidence_status
re-case-01,489,100-300,122,1,1,在 deposit() 函数中，状态更新（participants.push）发生在外部调用 payout() 之前。payout() 内部通过 send/call 与参与者交互，且未在读完所有参与者的余额后锁定或重新计算总供给前完成支付逻辑的原子性保护，存在重入风险。,"[38, 40]","[""        require(msg.sender == ownerCandidate);  "", ""    }""]",success,"[5, 85, 86, 87, 88, 90, 91, 94, 96, 99]",1,在 payout() 函数中，先读取了 address(this).balance (第 85 行) 并计算投资额和剩余余额。随后在第 96 行调用了外部地址的 call.value(payoutToSend)，此时合约状态（balance）尚未更新到调用点之后立即生效的逻辑保护下（尽管有减法操作，但 send/call 是外部交互）。若被叫者重新进入，可能利用未完全扣减或并发读取的状态。,"[85, 96]","[""        uint balance = address(this).balance;"", ""                    participants[payoutOrder].etherAddress.call.value(payoutToSend).gas(1000000)();""]",success,"[""balance"", ""participants"", ""payoutOrder"", ""withdraw"", ""weak_hands""]","[5, 17, 57, 59, 64, 73, 80, 85, 86, 87, 88, 89, 90, 91, 93, 94, 95, 96, 99, 100, 102, 109, 110]",1,在 payout() 函数中，第 96-97 行通过 call.value(payoutToSend) 进行外部交互（向参与者发送资金），此时账户余额 balance 尚未在第 84、85、88、93、94 等位置完全更新或确认一致性。若被调用方存在重入攻击，可在本次函数执行完成前再次进入并读取/修改不一致的 state。,"[96, 97]","[""                    participants[payoutOrder].etherAddress.call.value(payoutToSend).gas(1000000)();"", ""                }""]",success,"[""    function deposit() payable public {"", ""        participants.push(Participant(msg.sender, (msg.value * multiplier) / 100));""]",verified,"[""uint balance = address(this).balance;"", ""participants[payoutOrder].etherAddress.call.value(payoutToSend).gas(1000000)();""]",verified,"[""\t\t\tif(!participants[payoutOrder].etherAddress.send(payoutToSend)){"", ""\t\t\t    participants[payoutOrder].etherAddress.call.value(payoutToSend).gas(1000000)();""]",verified
re-case-02,7033,<100,66,0,0,合约中所有外部可调用函数（transfer、transferFrom、burn、burnFrom）均在执行前完成了必要的状态更新或逻辑校验，且未涉及 EOA 交互。具体而言：transferFrom 先扣减 allowance；burn/burnFrom 直接修改 balanceOf/totalSupply；_transfer 内部虽存在读取后写入顺序，但无外部重入点可触发该路径。因此不存在符合定义的重入漏洞。,[],[],success,"[9, 17, 24, 25, 26, 27, 28, 30, 50, 51, 58, 60]",0,代码中所有涉及外部调用的函数（transfer、burnFrom）均在调用前完成了状态更新或仅进行内部逻辑处理，未出现先读取/修改关键状态变量再触发外部回调的模式。特别是 transferFrom 和 burnFrom 虽存在 allowance 检查缺失问题，但并未在 balanceOf 读写与外部交互之间形成可被重入利用的窗口（如未在调用前保存旧值并在后更新），且无显式 external call 语句存在于敏感状态变更前后。,[],[],success,"[""balanceOf"", ""transferFrom""]","[9, 17, 24, 25, 26, 27, 28, 30, 37, 50, 51, 58, 60]",0,代码中所有状态更新（balanceOf、allowance、totalSupply）均在外部调用发生前完成，且无 external payable 函数被直接调用导致重入风险。,[],[],success,[],empty,[],empty,[],empty
re-case-03,10834,<100,78,1,1,Collect 函数中先执行 msg.sender.call.value(_am)() 进行外部调用，随后才更新状态变量 acc.balance-=_am。攻击者可在 call 时重新进入 Collect 并再次读取未更新的 balance，导致重复扣款和资金损失。,"[17, 20]","[""    payable"", ""        if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)""]",success,"[10, 20, 22, 24, 40]",0,调用外部账户（msg.sender.call.value）后，状态更新操作（acc.balance-= _am）位于同一作用域内且紧随其后。由于被调用的 msg.sender 是外部地址而非合约自身，无法重新进入本合约修改 Acc[msg.sender] 的状态；同时 balance 的读取与写入在逻辑上属于对同一映射项的操作，不存在跨函数或异步状态不一致的风险场景。,"[20, 21, 24]","[""        if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""        {"", ""                acc.balance-=_am;""]",success,"[""Acc"", ""balance"", ""_am"", ""msg.sender.call.value(_am)"", ""now""]","[9, 10, 11, 15, 19, 20, 22, 24, 25, 40, 43, 73]",1,在 Collect 函数中，先读取 acc.balance 进行条件判断（状态读），随后调用 msg.sender.call.value(_am)() 允许外部重入。只有在 call 返回后且处于 if 块内才执行 acc.balance-=_am（状态写）。这种“读 - 调 - 写”的顺序存在重入漏洞，攻击者可在 call 期间再次进入并读取未更新的 balance。,"[20, 22, 24]","[""        if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""            if(msg.sender.call.value(_am)())"", ""                acc.balance-=_am;""]",success,"[""if(msg.sender.call.value(_am)())"", ""acc.balance-=_am;""]",verified,"[""if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""{"", ""                acc.balance-=_am;""]",verified,"[""if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""            if(msg.sender.call.value(_am)())"", ""                acc.balance-=_am;""]",verified
re-case-04,18735,>300,1559,0,0,代码中所有状态更新（如_balances修改、_totalSupply增加）均在外部调用发生前完成，且无外部可重入函数在状态变更前后存在竞争条件。,[],[],success,"[102, 137, 292, 343, 609, 617, 644, 655, 660, 666, 671, 698, 730, 739, 741, 831, 844, 851, 857, 862, 875, 879, 947, 950, 963, 968, 985, 1008, 1069, 1079, 1119, 1128, 1142, 1144, 1145, 1154, 1189, 1190, 1210, 1227, 1237, 1262, 1274, 1275, 1277, 1279, 1301, 1323, 1324, 1326, 1361, 1364, 1381, 1384, 1506, 1515, 1522]",0,候选窗口展示的是 ERC20 标准库代码，包含状态变更函数（如 transferFrom、_transfer）和纯视图函数。所有外部可到达的交互均发生在内部逻辑之后或为只读操作；没有发现先读取余额/权限再调用外部地址且未更新状态的 RE 模式。,"[1203, 1244, 1276]","[""            _approve(sender, _msgSender(), currentAllowance - amount);"", ""            _approve(_msgSender(), spender, currentAllowance - subtractedValue);"", ""        unchecked {""]",success,"[""balance"", ""transferFrom"", ""_balances"", ""_approve""]","[947, 960, 963, 992, 1069, 1079, 1119, 1128, 1142, 1144, 1145, 1154, 1176, 1181, 1189, 1193, 1203, 1222, 1244, 1262, 1274, 1275, 1277, 1279, 1301, 1323, 1324, 1326, 1348, 1460, 1529]",0,代码展示了标准的 ERC20 实现，状态更新（如 _transfer、_approve）在外部调用发生前已完成。所有修改余额或权限的函数均先执行内部逻辑再返回，且无外部可重入点被利用的机会。,"[1198, 1348]","[""        _transfer(sender, recipient, amount);"", ""    function _approve(""]",success,[],empty,"[""_approve(sender, _msgSender(), currentAllowance - amount);"", ""_approve(_msgSender(), spender, currentAllowance - subtractedValue);"", ""_balances[sender] = senderBalance - amount;""]",verified,"[""        _transfer(sender, recipient, amount);"", ""    ) internal virtual {""]",verified
re-case-05,17266,>300,382,1,1,"在 submitPool 函数中，状态变量 finalBalance、contractStage 和 ethRefundAmount 的更新发生在调用 receiverAddress.call.value() 之后。攻击者可以在外部合约接收 ETH 后重新进入此函数（例如通过 tokenFallback），此时读取到的 state (如 contractStage=2, finalBalance) 已不一致或已被修改，导致逻辑错误。",[196],"[""  function withdraw (address tokenAddr) public {""]",success,"[30, 54, 79, 88, 99, 122, 142, 149, 154, 156, 168, 170, 171, 176, 177, 178, 179, 191, 192, 193, 194, 198, 200, 201, 203, 212, 227, 241, 246, 254, 255, 258, 260, 264, 267, 272, 275, 281, 282, 285, 286, 294, 295, 297, 301, 304, 305, 307, 308, 311, 312, 315, 320, 326, 327, 338, 339, 345, 346, 347, 348, 349, 355, 356, 367, 372, 373, 374]",0,代码中 withdraw() 和 _withdraw() 函数在发送 ETH（msg.sender.transfer）或调用外部合约前，已先将本地状态变量 c.balance 更新为 0。此外，submitPool() 等关键操作使用了 noReentrancy 修饰符保护。因此不存在重入漏洞。,"[201, 347]","[""      c.balance = 0;"", ""    finalBalance = this.balance;""]",success,"[""balance"", ""withdraw"", ""_ethDeposit"", ""noReentrancy"", ""locked"", ""transfer""]","[30, 31, 46, 48, 54, 79, 82, 85, 88, 95, 99, 112, 113, 114, 115, 117, 122, 125, 126, 149, 156, 159, 164, 168, 170, 171, 176, 177, 178, 179, 191, 192, 193, 195, 196, 198, 200, 201, 202, 203, 205, 209, 210, 212, 213, 216, 218, 227, 234, 241, 245, 246, 247, 255, 258, 260, 267, 275, 281, 282, 285, 286, 294, 295, 297, 301, 304, 305, 307, 308, 311, 312, 315, 320, 329, 341, 345, 346, 347, 349, 354, 356, 357, 358, 367, 370, 372, 373, 374]",1,在 submitPool 函数中，状态更新（finalBalance = this.balance; contractStage = 2）发生在外部调用 receiverAddress.call.value(amountInWei)() 之前。如果 call 返回 true 且接收方合约存在重入逻辑，攻击者可在当前交易执行前再次进入本合约并读取不一致的 finalBalance 或 stage 状态。,"[347, 350]","[""    finalBalance = this.balance;"", ""    contractStage = 2;""]",success,"[""    if (this.balance > 0) ethRefundAmount.push(this.balance);""]",verified,"[""c.balance = 0;"", ""finalBalance = this.balance;""]",verified,"[""    finalBalance = this.balance;"", ""    contractStage = 2;""]",verified
re-case-06,18224,100-300,174,1,0,代码中所有外部调用（transfer、safeTransferFrom）均发生在状态更新之前，但关键的状态变量 lastBid 和 winning 仅在函数末尾赋值。然而，由于 msg.sender == tx.origin 限制阻止了重入攻击者通过合约交互，且 transfer/call 后无其他可被利用的外部入口点导致不一致状态读取或修改的循环路径（如再次调用 bid），因此不构成 RE。,[],[],success,"[38, 56, 57, 139, 144, 145, 147, 155, 168, 171]",0,函数 end() 中，状态更新（ended=true）发生在所有外部调用之后。此外，该合约没有可被重入的外部交互入口点，且未涉及余额或 token 的读写操作在外部调用前的情况，因此不存在重入漏洞风险。,[],[],success,"[""balance"", ""transfer"", ""call""]","[38, 56, 57, 120, 139, 142, 143, 144, 145, 146, 147, 148, 155, 158, 159, 168, 171]",0,代码中不存在外部可进入的交互发生在状态更新之前的情况。所有涉及资金转移或逻辑更新的函数（如 bid、end）均在操作前进行了必要的 require 检查，且没有明显的重入风险模式。,[],[],success,[],empty,[],empty,[],empty
re-case-07,19062,>300,1855,1,0,代码为ERC721 NFT合约，mint函数仅更新状态变量并调用纯函数的_safeMint。该过程不涉及外部账户的ETH转账或可被重入的外部交互（如call），因此不存在Reentrancy漏洞风险。,[],[],success,"[178, 443, 481, 499, 503, 504, 515, 565, 566, 595, 597, 602, 603, 607, 615, 619, 620, 624, 629, 634, 638, 643, 644, 648, 653, 657, 662, 668, 669, 670, 674, 675, 679, 680, 684, 685, 689, 694, 695, 699, 700, 704, 705, 709, 710, 714, 719, 720, 724, 725, 729, 737, 739, 748, 753, 795, 806, 833, 899, 918, 919, 927, 939, 940, 953, 954, 955, 962, 980, 988, 989, 993, 1036, 1109, 1136, 1138, 1140, 1194, 1232, 1257, 1265, 1275, 1326, 1376, 1411, 1448, 1449, 1451, 1453, 1454, 1483, 1497, 1502, 1503, 1530, 1531, 1533, 1551, 1554, 1560, 1561, 1563, 1619, 1674, 1700, 1759, 1784, 1803, 1846, 1852]",0,代码中未检测到重入漏洞。withdraw()函数调用call发送余额后无状态更新，且上下文为ERC721逻辑库及工具类，不存在外部交互前的关键状态变更风险点。,[],[],success,"[""addressMintedBalance"", ""_safeMint"", ""mint""]","[1170, 1204, 1301, 1321, 1330, 1331, 1335, 1338, 1343, 1351, 1353, 1362, 1363, 1364, 1368, 1369, 1372, 1373, 1374, 1410, 1451, 1452, 1489, 1491, 1530, 1531, 1536, 1560, 1561, 1566, 1650, 1729, 1755, 1759, 1770, 1773, 1774, 1780, 1783, 1784, 1785, 1830, 1831]",0,代码中不存在外部可重入的交互。所有状态更新（如_balances、_owners）均在内部函数_safeMint或_mint中完成，且没有调用其他合约的外部函数导致重新进入的风险。,[],[],success,[],empty,[],empty,[],empty
re-case-08,10557,<100,42,0,0,合约中所有外部可调用函数（approve、transferFrom）均为view类型，不涉及状态变更或资金转移；add和sub虽修改映射但仅由owner通过onlyOwner修饰器保护且无外部重入点。,[],[],success,"[8, 26, 33]",0,合约中所有外部函数均标记为view，仅进行状态读取或本地变量操作，未发生任何外部调用（如ERC20转账），且无涉及余额更新的可重入点。,[],[],success,"[""_owner"", ""msg.sender""]","[4, 8, 13]",0,函数为纯视图函数 (view)，仅读取状态且无外部调用，不存在重入风险。,[21],"[""    function transferFrom(address addr1, address, uint256) public view returns(bool success){""]",success,[],empty,[],empty,"[""    function transferFrom(address addr1, address, uint256) public view returns(bool success){""]",verified
re-case-09,351,<100,78,1,1,Collect 函数中先执行 msg.sender.call.value(_am)() 进行外部调用，随后才更新状态变量 acc.balance-=_am。攻击者可在 call 时重新进入 Collect 并再次读取未更新的 balance（仍为旧值），导致重复扣减和资金损失。,"[20, 21]","[""        if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""        {""]",success,"[10, 20, 22, 24, 40]",1,在 Collect 函数中，先执行外部调用 msg.sender.call.value(_am)() 发送资金并等待回调返回后，才更新状态变量 acc.balance-=_am。这种‘先调后改’的顺序允许恶意接收方在回调时重新进入合约读取未更新的 balance（仍为旧值）或再次触发 call，导致重复提款漏洞。,"[20, 21, 22, 24]","[""        if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""        {"", ""            if(msg.sender.call.value(_am)())"", ""                acc.balance-=_am;""]",success,"[""Acc"", ""balance"", ""_am"", ""msg.sender.call.value(_am)"", ""Collect""]","[9, 10, 11, 15, 19, 20, 22, 24, 25, 40, 43]",1,在 Collect 函数中，先执行了外部调用 msg.sender.call.value(_am)，随后才更新状态变量 acc.balance。这种‘先调后改’的顺序使得攻击者可在回调中再次进入并重复获取资金，且缺乏 reentrancyGuard 等保护机制。,"[20, 21, 22, 24]","[""        if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""        {"", ""            if(msg.sender.call.value(_am)())"", ""                acc.balance-=_am;""]",success,"[""if(msg.sender.call.value(_am)()){"", ""acc.balance-=_am;""]",verified,"[""if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""{"", ""            if(msg.sender.call.value(_am)())"", ""                acc.balance-=_am;""]",verified,"[""if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""{"", ""    if(msg.sender.call.value(_am)())"", ""        acc.balance-=_am;""]",verified
re-case-10,19269,100-300,106,0,1,函数 signHash 中，先读取状态变量_signerToAgency[msg.sender]判断是否已签名（外部可交互点），随后在循环结束后执行_hashToSignatures[_hash].push(msg.sender)更新状态。若攻击者在 push 前通过 msg.sender == owner 调用 transferOwnership 修改 owner，再重新进入 signHash，可能导致逻辑不一致或绕过检查；且当前代码未使用 nonReentrant 修饰符保护外部可写函数。,"[43, 51]","[""contract AudigentSegment is Ownable {"", """"]",success,[23],0,候选窗口仅包含构造函数、注释和 onlyOwner 修饰器，未涉及外部调用或状态读写顺序判断。,[],[],success,"[""_signerToAgency"", ""msg.sender""]","[18, 26, 45, 48, 53, 57, 58, 63, 75, 79, 87, 96]",0,代码中不存在外部调用（external call）在状态更新之前发生的模式。所有涉及映射变量读写和事件触发的函数均无对外部合约的交互，因此无法满足重入攻击的前提条件。,[],[],success,"[""        address[] memory signatures = _hashToSignatures[_hash];"", ""_hashToSignatures[_hash].push(msg.sender);""]",verified,[],empty,[],empty
